category,title,refer,price,description,toppings
appetizers,1/ SILKY KIMONO,"F,K","4,00€",Zarte Schichten aus Tofuseidenblättern mit saisonal hausgemachtem Kräuterpesto und Pfefferkörnern,-
appetizers,2/ SALT & PEPPER ,F,"3,00€","Gedämpfte, junge Edamame-Sojabohnen mit Salz und Pfeffer",-
appetizers,3/ CUCUDO ,"F,K","4,00€","Kleine frische Salatgurke, gefüllt mit Nori und Minze, verfeinert mit einer Soja-Limettensauce, einem
Hauch von Chili, Knoblauch und Tomate sowie Sesamsamen",-
appetizers,4/ DEEP FOREST,F,"4,00€",Gedämpfter Spinat mit karamellisierter Zitronengras-Lauch-Wasabi-Sojasauce,-
appetizers,5/ DRAGON EGG,"C,F","4,50€","Avocado in knusprigem Spinat-Tempuramantel mit Zitronengras, einem Spritzer Zitrone & Mayonnaise ",-
appetizers,6/ DEEP WELL,F,"3,50€",Miso-Tofu-Gemüse-Suppe,-
appetizers,7/ LITTLE MOUNTAIN ,"A,F,I","2,50€","Veganes Mini-Banh Bao mit einer Füllung aus Morcheln, Pilzen, Tofu, Glasnudeln und Wasserkastanien",-
appetizers,8/ SWEET BABE,"C,F,K","4,00€","Süßkartoffel in einem Kurkuma-Tempuramantel mit Knoblauch-Mayonnaise und Dill-Pilz-Sauce mit
Noristreifen",-
appetizers,9/ AUTUMN LEAVES ,"C,F,K","4,00€","Kombu-Algensalat mit roten Zwiebeln und Peperoni, serviert auf einem Chinakohlblatt mit NoriMayonnaise und einem Dressing aus Sojasauce, Limette, Sesamöl, etwas Chili und Lauch (leicht scharf)",-
noodles,11/ DRAGON NEST,,"9,50€","Knusprig gebackene Nudeln mit zarten Seidentofublättern, Pilzen und saisonalem Gemüse, serviert mit unserem Kräuter-Pilz-Dressing",-
noodles,12/ HOT RONG SOBA,,"8,50€","Gegarte Nudeln mit Tofu und Kräuterpesto, dreiteilig serviert mit einem Schälchen Kräutergewürz und
einer Schale heißer karamellisierter Zitronengras-Lauch-Wasabi-Sojabrühe",-
noodles,13/ CRAZY SAIGON,,"7,50€","Würziger, asiatischer Nudelsalat mit eingelegten Möhren und Rettich, Sojahack, Gurke, Lauchzwiebeln
und Soja-Pilz-Sauce mit frischem Salat, Koriander und Erdnüssen","Toppings: Kräuterseitling, Seitan, Tofu jeweils +1,00€"
noodles,14/ DRAGON BOWL,,"7,50€","Kräftige, aromatische Gemüsebrühe mit Nudeln, saisonalem Gemüse, Sojakeimlingen, Koriander,
gerösteten Zwiebeln, Zitronengras, verfeinert mit weißem Pfeffer","Toppings: Kräuterseitling, Seitan, Tofu jeweils +1,00€"
noodles,15/ FOGGY DEW,,"7,50€","Cremige, mild aromatische Sojamilch-Misobrühe mit Nudeln, einem Nori-Blatt, gegrillten marinierten
Bambusstreifen, Spinat, Shiitake-Pilzen, Sojakeimlingen, verfeinert mit Lauch, Zitronengras und einem
Schuss Kokosmilch","Toppings: Kräuterseitling, Seitan, Tofu jeweils +1,00€"
noodles,16/ 13 MOONS,,"8,50€","Eine klare, vitalisierende Brühe mit Nudeln, saisonalen Kräutern, Lauch, Pilzen und Seitan, bedeckt von
einem Teppich aus 13 frischen Limettenscheiben, die dem Frühlingsgericht sein angenehmes Aroma verleihen
",-
noodles,17/ RYU CURRY,,"8,50€","Nudeln mit Tofu, Kräuterseitlingen, Knoblauchstängel, frittiertem Taro und einer Miso-Curry Sauce auf
Rote-Betebasis, verfeiniert mit Kräutern und Edamame (scharf)",-
